2023-01-02,Transaction 222,Dining,281.08
2023-01-06,Transaction 14,Groceries,-142.25
2023-01-06,Transaction 53,Dining,200.83
2023-01-07,Transaction 36,Pets,52.52
2023-01-07,Transaction 368,Entertainment,-292.17
2023-01-07,Transaction 491,Dining,199.37
2023-01-08,Transaction 95,Transportation,-98.89
2023-01-08,Transaction 186,Shopping,-260.43
2023-01-08,Transaction 315,Groceries,-171.92
2023-01-10,Transaction 134,Fitness,81.83
2023-01-10,Transaction 224,Entertainment,135.48
2023-01-10,Transaction 462,Groceries,-92.13
2023-01-11,Transaction 356,Health,4.60
2023-01-11,Transaction 437,Pets,-294.73
2023-01-12,Transaction 159,Groceries,-67.27
2023-01-12,Transaction 223,Transportation,10.29
2023-01-12,Transaction 238,Insurance,-291.00
2023-01-12,Transaction 379,Dining,264.16
2023-01-12,Transaction 398,Fitness,258.08
2023-01-13,Transaction 110,Health,84.44
2023-01-15,Transaction 111,Transportation,204.55
2023-01-15,Transaction 457,Transportation,48.18
2023-01-17,Transaction 215,Health,-7.28
2023-01-17,Transaction 246,Dining,-251.66
2023-01-17,Transaction 405,Utilities,274.63
2023-01-18,Transaction 117,Entertainment,86.52
2023-01-18,Transaction 305,Pets,-72.99
2023-01-19,Transaction 357,Dining,-174.41
2023-01-20,Transaction 129,Dining,-188.14
2023-01-21,Transaction 203,Utilities,293.43
2023-01-22,Transaction 301,Transportation,-122.59
2023-01-22,Transaction 308,Shopping,-258.72
2023-01-23,Transaction 17,Groceries,125.72
2023-01-23,Transaction 387,Fitness,-260.82
2023-01-25,Transaction 232,Transportation,-147.17
2023-01-25,Transaction 261,Health,-145.35
2023-01-26,Transaction 339,Dining,196.54
2023-01-27,Transaction 259,Groceries,139.90
2023-01-28,Transaction 349,Pets,99.36
2023-01-31,Transaction 461,Dining,-16.41
2023-01-31,Transaction 472,Transportation,29.44
2023-02-02,Transaction 55,Entertainment,-105.88
2023-02-02,Transaction 188,Shopping,232.67
2023-02-02,Transaction 241,Dining,-16.08
2023-02-03,Transaction 182,Dining,-58.57
2023-02-03,Transaction 427,Transportation,43.68
2023-02-06,Transaction 416,Entertainment,220.45
2023-02-08,Transaction 474,Pets,230.91
2023-02-09,Transaction 133,Insurance,89.79
2023-02-09,Transaction 296,Entertainment,-203.27
2023-02-10,Transaction 165,Fitness,96.94
2023-02-11,Transaction 71,Groceries,-208.52
2023-02-12,Transaction 88,Dining,120.21
2023-02-12,Transaction 214,Entertainment,237.91
2023-02-13,Transaction 420,Shopping,221.78
2023-02-14,Transaction 456,Shopping,-66.91
2023-02-15,Transaction 167,Fitness,155.96
2023-02-15,Transaction 236,Insurance,261.73
2023-02-17,Transaction 28,Entertainment,-244.49
2023-02-17,Transaction 358,Transportation,-174.99
2023-02-19,Transaction 120,Fitness,-168.70
2023-02-19,Transaction 218,Transportation,-52.47
2023-02-19,Transaction 439,Transportation,-207.38
2023-02-20,Transaction 114,Groceries,284.72
2023-02-20,Transaction 185,Fitness,-108.45
2023-02-20,Transaction 362,Utilities,297.64
2023-02-22,Transaction 248,Transportation,91.91
2023-02-22,Transaction 436,Transportation,-57.32
2023-02-23,Transaction 31,Fitness,-204.82
2023-02-25,Transaction 250,Fitness,167.00
2023-02-26,Transaction 303,Insurance,-243.67
2023-02-27,Transaction 421,Pets,89.05
2023-02-27,Transaction 463,Shopping,5.35
2023-02-28,Transaction 160,Groceries,236.02
2023-02-28,Transaction 351,Health,292.57
